Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
119,Santi Aldama,24,MEM,PF,42,11,24.7,5.0,10.2,.492,1.7,4.7,.372,3.3,5.5,.592,.577,1.0,1.4,.717,1.5,5.3,6.8,2.5,0.8,0.5,1.1,1.0,12.8,,aldamsa01
120,Rui Hachimura,26,LAL,PF,41,41,31.9,4.9,9.7,.505,1.6,3.8,.429,3.2,5.9,.554,.590,1.4,1.8,.787,1.5,3.6,5.1,1.5,0.9,0.5,0.9,1.8,12.8,,hachiru01
121,Daniel Gafford,26,DAL,C,48,25,21.8,5.1,7.3,.699,0.0,0.0,,5.1,7.3,.699,.699,2.5,3.5,.711,2.7,4.0,6.7,1.4,0.4,1.8,1.2,2.7,12.7,,gaffoda01
122,Scoot Henderson,20,POR,PG,44,8,26.6,4.3,10.0,.434,1.5,4.0,.367,2.9,6.0,.479,.508,2.6,3.3,.785,0.7,2.4,3.1,5.3,1.1,0.3,2.6,2.7,12.7,,hendesc01
123,Aaron Gordon,29,DEN,PF,28,19,26.7,4.5,8.6,.521,1.1,2.8,.410,3.3,5.8,.574,.588,2.5,3.1,.795,1.6,3.3,4.8,2.6,0.5,0.2,1.4,1.6,12.6,,gordoaa01
124,Khris Middleton,33,MIL,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,,middlkh01
125,Bilal Coulibaly,20,WAS,SF,45,45,33.2,4.4,10.6,.421,1.1,3.9,.282,3.4,6.7,.502,.473,2.5,3.3,.770,1.4,3.5,4.9,3.3,1.3,0.8,2.0,2.4,12.5,,coulibi01
126,Ayo Dosunmu,25,CHI,SG,40,22,30.5,4.8,9.9,.490,1.5,4.2,.349,3.4,5.7,.592,.563,1.4,1.7,.794,0.6,3.0,3.7,4.7,0.8,0.5,1.3,2.3,12.5,,dosunay01
127,Keldon Johnson,25,SAS,SF,44,0,24.0,4.6,10.0,.458,1.1,3.7,.305,3.4,6.3,.549,.515,2.0,2.6,.765,1.3,3.4,4.8,1.4,0.6,0.3,0.8,1.5,12.3,,johnske04
128,Stephon Castle,20,SAS,PG,46,29,25.6,4.4,10.8,.407,1.1,3.9,.278,3.3,6.9,.480,.457,2.3,3.2,.711,0.8,2.0,2.8,3.7,0.8,0.2,1.9,1.8,12.2,,castlst01
129,Brook Lopez,36,MIL,C,47,47,32.1,4.6,9.6,.475,1.9,5.1,.365,2.7,4.5,.599,.572,1.1,1.3,.794,1.1,3.6,4.7,1.7,0.7,2.0,1.0,2.2,12.1,,lopezbr01
130,Keegan Murray,24,SAC,PF,46,46,35.2,4.7,10.8,.436,1.8,5.6,.326,2.9,5.2,.554,.520,0.9,1.1,.816,2.2,4.9,7.1,1.4,0.8,0.8,0.9,2.7,12.1,,murrake02
131,Terry Rozier,30,MIA,PG,44,21,28.5,4.5,11.0,.407,1.5,5.2,.297,2.9,5.8,.506,.477,1.6,1.9,.867,0.8,3.4,4.1,3.0,0.6,0.3,1.5,1.4,12.1,,roziete01
132,Josh Giddey,22,CHI,PG,47,47,28.7,4.6,10.2,.447,1.3,3.8,.331,3.3,6.4,.515,.508,1.6,2.1,.750,1.6,5.7,7.3,6.6,1.1,0.5,2.7,1.6,12.0,,giddejo01
133,Daeqwon Plowden,26,ATL,SG,2,0,16.5,4.0,5.0,.800,3.0,4.0,.750,1.0,1.0,1.000,1.100,1.0,1.0,1.000,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5,12.0,,plowdda01
134,Jabari Smith Jr.,21,HOU,PF,33,33,30.9,4.1,9.5,.435,1.7,4.8,.354,2.4,4.7,.516,.524,2.0,2.3,.867,1.8,4.7,6.5,1.0,0.4,1.0,0.9,2.3,11.9,,smithja05
135,Jeremy Sochan,21,SAS,PF,28,19,27.1,4.8,9.1,.525,0.5,1.5,.326,4.3,7.6,.566,.553,1.9,2.6,.712,2.5,5.0,7.5,2.6,0.9,0.6,1.8,2.4,11.9,,sochaje01
136,Harrison Barnes,32,SAS,PF,47,47,28.1,4.0,7.9,.503,1.5,3.7,.416,2.4,4.2,.579,.600,2.2,2.8,.802,1.4,2.5,4.0,1.8,0.3,0.2,0.6,1.0,11.7,,barneha02
137,Onyeka Okongwu,24,ATL,C,43,9,24.9,4.6,8.2,.562,0.4,1.6,.269,4.2,6.7,.631,.588,2.0,2.7,.744,2.8,5.0,7.8,2.0,0.9,0.9,1.0,2.4,11.7,,okongon01
138,Isaiah Hartenstein,26,OKC,C,28,27,29.4,4.9,8.9,.554,0.0,0.5,.000,4.9,8.4,.585,.554,1.6,2.5,.648,3.0,9.4,12.5,4.3,0.8,1.2,1.9,2.9,11.5,,harteis01
