Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
187,Jaden Ivey,22,DET,SG,30,30,898,15.1,.569,.373,.281,5.0,10.3,7.7,20.2,1.5,1.2,16.1,26.2,0.4,0.7,1.1,.060,0.7,-1.1,-0.4,0.4,,iveyja01
188,Trayce Jackson-Davis,24,GSW,C,46,37,897,18.3,.583,.004,.309,12.3,21.5,16.7,16.2,1.1,3.6,11.0,16.6,1.8,1.2,3.0,.160,0.4,0.8,1.1,0.7,,jackstr02
189,Isaiah Collier,20,UTA,PG,40,15,895,6.7,.448,.331,.171,1.6,12.0,6.9,32.4,1.7,0.8,29.3,17.5,-1.4,0.3,-1.1,-0.060,-5.6,-1.5,-7.1,-1.2,,colliis01
190,A.J. Green,25,MIL,SG,41,5,894,10.2,.642,.867,.062,1.4,9.7,5.7,7.7,1.2,0.4,8.5,13.2,1.1,0.6,1.7,.091,-1.3,-0.6,-1.9,0.0,,greenaj01
191,Ty Jerome,27,CLE,SG,47,2,888,21.0,.641,.426,.210,4.3,9.3,6.9,24.8,3.0,0.1,11.8,22.5,2.7,1.1,3.9,.208,3.1,1.0,4.2,1.4,,jeromty01
192,Kyle Kuzma,29,WAS,PF,32,30,887,10.7,.488,.352,.215,3.1,18.8,10.8,14.8,1.1,0.7,12.8,26.8,-1.5,0.3,-1.3,-0.069,-2.9,-2.5,-5.4,-0.8,,kuzmaky01
193,Kevin Porter Jr.,24,LAC,SG,45,2,884,12.3,.476,.260,.187,3.7,16.3,10.1,25.2,2.4,1.2,16.0,25.6,-1.1,1.4,0.3,.016,-3.1,0.6,-2.5,-0.1,,porteke02
194,Caris LeVert,30,CLE,SF,37,2,883,15.2,.594,.500,.286,2.8,10.0,6.5,20.3,1.7,1.9,13.0,18.2,1.5,1.0,2.5,.135,1.2,0.6,1.8,0.8,,leverca01
195,Obi Toppin,26,IND,PF,46,0,866,17.9,.643,.477,.191,4.1,19.2,11.8,11.4,1.7,1.8,8.3,19.2,1.7,0.9,2.6,.143,1.8,0.0,1.8,0.8,,toppiob01
196,Brandon Clarke,28,MEM,PF,46,18,865,16.3,.629,.061,.202,10.4,17.5,14.0,6.8,2.1,2.6,8.9,14.4,1.8,1.4,3.1,.173,-0.7,1.1,0.4,0.5,,clarkbr01
197,Brandin Podziemski,21,GSW,SG,36,8,864,13.1,.538,.502,.143,4.1,15.9,9.8,19.2,2.0,0.8,11.6,16.3,0.8,1.0,1.8,.100,-1.2,1.1,-0.1,0.4,,podzibr01
198,Ryan Dunn,22,PHO,SF,44,27,856,10.7,.529,.516,.076,6.0,13.3,9.8,7.0,1.2,2.8,6.2,15.8,0.4,0.5,1.0,.054,-2.7,-0.9,-3.6,-0.3,,dunnry01
199,Noah Clowney,20,BRK,PF,37,18,853,9.9,.536,.699,.201,4.6,15.5,9.8,5.4,1.1,2.2,10.5,18.8,-0.1,0.6,0.6,.032,-2.6,-1.1,-3.7,-0.4,,clownno01
200,Ziaire Williams,23,BRK,SF,36,19,846,12.3,.536,.500,.283,5.0,18.7,11.6,9.4,2.1,1.9,10.6,18.7,0.3,0.9,1.2,.065,-2.5,0.0,-2.5,-0.1,,willizi02
